# e(GeV/fm^3)  rho_B(1/fm^3)  c2_hat  zeta_hat(GeV/fm^3)  eta_hat(GeV/fm^3)
  2.000000e-02  1.136452e-02  1.032241e-01  1.414355e-03  2.245396e-03
  2.000000e-02  1.146083e-02  1.026500e-01  1.406557e-03  2.231919e-03
  2.000000e-02  1.155713e-02  1.020781e-01  1.398654e-03  2.218434e-03
  2.000000e-02  1.165344e-02  1.015082e-01  1.390671e-03  2.204917e-03
  2.000000e-02  1.174975e-02  1.009407e-01  1.382651e-03  2.191405e-03
  2.000000e-02  1.184606e-02  1.003747e-01  1.374556e-03  2.177861e-03
  2.000000e-02  1.194237e-02  9.981076e-02  1.366304e-03  2.164301e-03
  2.000000e-02  1.203868e-02  9.924835e-02  1.357878e-03  2.150719e-03
  2.000000e-02  1.213499e-02  9.868773e-02  1.349574e-03  2.137125e-03
  2.000000e-02  1.223130e-02  9.812882e-02  1.341008e-03  2.123510e-03
  2.000000e-02  1.232761e-02  9.757154e-02  1.332485e-03  2.109878e-03
  2.000000e-02  1.242392e-02  9.701555e-02  1.323738e-03  2.096224e-03
  2.000000e-02  1.252023e-02  9.646123e-02  1.315061e-03  2.082556e-03
